feature,importance_clf,importance_reg,rank_clf
dew_point_lag_2h,3.4075214665717996e-05,2.4466727072185738e-05,134
vpd_lag_6h,3.2773198680349455e-05,2.578262175248856e-05,135
dew_point_lag_1h,3.2236396655900347e-05,1.422935211918863e-05,136
humidity_lag_12h,3.1332232926403796e-05,6.096385799761313e-05,137
temperature,3.0452997796181734e-05,1.7992467729160443e-05,138
humidity_rolling_std_12h,2.641603895948267e-05,1.8607381299895707e-05,139
vpd_lag_12h,2.639889350866469e-05,2.8958121316131402e-05,140
dew_point_rolling_std_12h,2.5846632084307888e-05,1.2812273985550644e-05,141
temperature_lag_12h,2.485427011832158e-05,3.178211600036175e-05,142
solar_radiation_rolling_max_6h,2.431809230860389e-05,3.514586267934694e-05,143
co2_rolling_min_6h,2.3425811514938856e-05,3.1240718900871133e-06,144
vpd_rolling_mean_6h,2.0145376431894493e-05,0.00013172256441929773,145
solar_radiation_rolling_mean_12h,1.998143284652804e-05,1.164771031188416e-05,146
vpd_lag_2h,1.8788953749690106e-05,6.0753661715506295e-06,147
solar_radiation_lag_6h,1.781928919691751e-05,5.949866821328414e-06,148
dew_point_rolling_std_6h,1.7038611502766323e-05,9.668734432950377e-06,149
temperature_rolling_std_12h,1.692011247831409e-05,1.3205273361024338e-05,150
humidity_lag_2h,1.6415426388825318e-05,2.2257640680854595e-05,151
co2,1.6349499326507163e-05,1.1024019987092373e-05,152
temperature_lag_3h,1.5608830858300573e-05,3.0196906985791898e-05,153
co2_rolling_std_12h,1.4992273726506083e-05,2.5797989086518237e-06,154
co2_lag_12h,1.4643470730865485e-05,9.759672642691044e-06,155
solar_radiation_lag_12h,1.4380227466274411e-05,1.7899388344206855e-05,156
solar_radiation,1.3899572565876488e-05,2.1400572311773454e-06,157
temperature_rolling_std_6h,1.3446861262665146e-05,1.5002186183592021e-05,158
solar_radiation_lag_2h,1.2241242819048014e-05,1.677952221579582e-05,159
vpd_rolling_std_6h,1.1377945193992476e-05,1.0393003693343634e-05,160
radiation_x_vpd,1.123270134871973e-05,3.2293962921374926e-06,161
dew_point,1.1185440262594809e-05,1.6231582004685054e-05,162
dew_point_lag_24h,1.0604276111474513e-05,2.3437484960190037e-05,163
vpd_lag_3h,1.026321002787054e-05,1.5870961951384263e-05,164
co2_rolling_mean_12h,1.0254103577830478e-05,1.040394320573566e-05,165
solar_radiation_lag_1h,9.78151923882708e-06,3.2864331208226e-06,166
radiation_x_temperature,9.265032693867585e-06,2.076719110970827e-06,167
co2_rolling_std_6h,8.262254092968413e-06,1.5261606078498093e-06,168
temperature_lag_1h,7.657657896653884e-06,2.8591799399072506e-05,169
temperature_lag_24h,7.4344919001609265e-06,1.2859954828213056e-05,170
solar_radiation_lag_24h,7.191613251005292e-06,5.189218340767036e-06,171
co2_lag_6h,7.158568596566768e-06,4.606570461198572e-06,172
day_night_flag,7.00142871245455e-06,3.073792833750123e-06,173
co2_lag_24h,6.627625587595617e-06,8.551349112908402e-06,174
temperature_lag_2h,6.3279944583473346e-06,1.512185161967988e-05,175
co2_rolling_max_6h,5.898497064372452e-06,4.6580548535316535e-07,176
co2_lag_1h,5.781682225889428e-06,3.4258418987601854e-06,177
solar_radiation_rolling_std_6h,4.6936392095625625e-06,6.996195598830281e-06,178
solar_radiation_rolling_mean_6h,3.504543044192621e-06,6.106311387595818e-06,179
solar_radiation_lag_3h,3.4738047022548824e-06,2.706825130312258e-06,180
leaf_wetness_proxy,2.3975554210479057e-06,4.789690857396228e-08,181
co2_rolling_mean_6h,1.4669954309894768e-06,4.4008497289091055e-06,182
co2_lag_2h,6.451273143266339e-07,2.230587746236625e-06,183
co2_lag_3h,4.6182147548279294e-07,1.9774614054542055e-06,184
co2_rolling_max_12h,2.164191562540655e-07,0.0,185
solar_radiation_rolling_min_12h,1.618507709615278e-07,0.0,186
solar_radiation_rolling_min_6h,4.0749255092773005e-18,1.2293923266587654e-06,187
solar_radiation_rolling_min_72h,0.0,0.0,188
solar_radiation_rolling_min_24h,0.0,0.0,189
co2_rolling_max_24h,0.0,0.0,190
co2_rolling_max_72h,0.0,0.0,191
stage_change_flag,0.0,0.0,192
night_co2_mean_24h,0.0,0.0,193
